"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C5,C3,C6,C2";"C_0603_1608Metric";5;"10uF 25V";;;
2;"R4,R8,R7";"R_0402_1005Metric";3;"10k";;;
3;"C14,C15,C11";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"10pF";;;
4;"R2";"R_0402_1005Metric";1;"1k";;;
5;"U3";"VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm";1;"ATtiny1616-MNR";Microchip;;
6;"L3,L2";"L_0402_1005Metric_Pad0.77x0.64mm_HandSolder";2;"4.7nH";Murata LQW15AN4N7D10D;;
7;"D2";"LED_0603_1608Metric";1;"LED Red";;;
8;"C4,C17,C16,C22,C13,C12,C23";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";7;"100nF";;;
9;"R6,R5,R1";"R_0402_1005Metric";3;"470R";;;
10;"L1";"L_0402_1005Metric_Pad0.77x0.64mm_HandSolder";1;"2.7nH";TDK MLK1005S2N7ST000;;
11;"U4,U5,U6";"WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm";3;"DRV8231DSGR";TI;;
12;"C20,C21";"C_0603_1608Metric";2;"2.2uF";;;
13;"R25";"R_0402_1005Metric";1;"200R";;;
14;"C10";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"22pF";;;
15;"C18";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"560pF";;;
16;"C9";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"1pF";;;
17;"R3";"R_0402_1005Metric";1;"100k";;;
18;"C19";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10nF";;;
19;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"16mhz Seiko Epson Q24FA20H0051200 ";;;
20;"U2";"SOT-89-3";1;"HT7533-1";;;
21;"D1";"LED_0603_1608Metric";1;"LED Blue";;;
22;"U1";"a7105-QFN-20";1;"A7105";AMICCOM A7105;;
