Designator,Mid X,Mid Y,Layer,Rotation
C2,53.213029,-91.737753,B,180.0
C2,31.208194,-23.572083,B,180.0
C2,53.213029,-23.572083,B,180.0
C2,31.208194,-91.737753,B,180.0
C2,75.217864,-91.737753,B,180.0
C2,75.217864,-23.572083,B,180.0
C2,9.203359,-23.572083,B,180.0
C2,75.217864,-57.654918,B,180.0
C2,53.213029,-57.654918,B,180.0
C2,31.208194,-57.654918,B,180.0
C2,9.203359,-91.737753,B,180.0
C2,9.203359,-57.654918,B,180.0
C3,55.113029,-48.659418,B,180.0
C3,33.108194,-48.659418,B,180.0
C3,11.103359,-82.742253,B,180.0
C3,55.113029,-82.742253,B,180.0
C3,55.113029,-14.576583,B,180.0
C3,77.117864,-82.742253,B,180.0
C3,77.117864,-14.576583,B,180.0
C3,11.103359,-48.659418,B,180.0
C3,77.117864,-48.659418,B,180.0
C3,11.103359,-14.576583,B,180.0
C3,33.108194,-82.742253,B,180.0
C3,33.108194,-14.576583,B,180.0
C4,36.708194,-76.842253,B,180.0
C4,14.703359,-42.759418,B,180.0
C4,58.713029,-42.759418,B,180.0
C4,36.708194,-8.676583,B,180.0
C4,36.708194,-42.759418,B,180.0
C4,80.717864,-76.842253,B,180.0
C4,58.713029,-76.842253,B,180.0
C4,80.717864,-42.759418,B,180.0
C4,58.713029,-8.676583,B,180.0
C4,14.703359,-76.842253,B,180.0
C4,80.717864,-8.676583,B,180.0
C4,14.703359,-8.676583,B,180.0
C5,80.445364,-23.064083,B,90.0
C5,14.430859,-91.229753,B,90.0
C5,80.445364,-57.146918,B,90.0
C5,36.435694,-23.064083,B,90.0
C5,14.430859,-57.146918,B,90.0
C5,36.435694,-57.146918,B,90.0
C5,58.440529,-57.146918,B,90.0
C5,58.440529,-23.064083,B,90.0
C5,14.430859,-23.064083,B,90.0
C5,80.445364,-91.229753,B,90.0
C5,36.435694,-91.229753,B,90.0
C5,58.440529,-91.229753,B,90.0
C6,40.563194,-91.293253,B,90.0
C6,18.558359,-57.210418,B,90.0
C6,18.558359,-91.293253,B,90.0
C6,84.572864,-57.210418,B,90.0
C6,84.572864,-23.127583,B,90.0
C6,40.563194,-57.210418,B,90.0
C6,40.563194,-23.127583,B,90.0
C6,84.572864,-91.293253,B,90.0
C6,62.568029,-91.293253,B,90.0
C6,62.568029,-57.210418,B,90.0
C6,62.568029,-23.127583,B,90.0
C6,18.558359,-23.127583,B,90.0
C7,22.685859,-23.127583,B,90.0
C7,44.690694,-23.127583,B,90.0
C7,88.700364,-57.210418,B,90.0
C7,44.690694,-57.210418,B,90.0
C7,88.700364,-91.293253,B,90.0
C7,66.695529,-57.210418,B,90.0
C7,66.695529,-91.293253,B,90.0
C7,88.700364,-23.127583,B,90.0
C7,22.685859,-57.210418,B,90.0
C7,22.685859,-91.293253,B,90.0
C7,44.690694,-91.293253,B,90.0
C7,66.695529,-23.127583,B,90.0
D1,8.930359,-43.776418,B,90.0
D1,30.935194,-9.693583,B,90.0
D1,52.940029,-9.693583,B,90.0
D1,52.940029,-77.859253,B,90.0
D1,74.944864,-77.859253,B,90.0
D1,8.930359,-77.859253,B,90.0
D1,8.930359,-9.693583,B,90.0
D1,52.940029,-43.776418,B,90.0
D1,74.944864,-43.776418,B,90.0
D1,74.944864,-9.693583,B,90.0
D1,30.935194,-77.859253,B,90.0
D1,30.935194,-43.776418,B,90.0
D2,24.103359,-43.776418,B,90.0
D2,24.103359,-77.859253,B,90.0
