Designator,MPN,Qty,Comment,Package,LCSC,
C4,CC0603KRX7R9BB104,12,0.1uF,C0603,C14663,
"C2,C3,C5,C6,C7",CL10A106KP8NNNC,60,10uF,C0603,C19702,
D1,TJ-S2012SW8TGLC6B-A5,12,LED Blue,LED 0805,C2293,
D2,TJ-S2012SW8TGLC2R-A5,12,LED Red,LED 0805,C84256,
"R1,R2",0603WAF2200T5E,24,220R,R0603,C22962,
R3,0603WAF3302T5E,12,33k,R0603,C4216,
R4,RC0603FR-0710KL,12,10k,R0603,C25804,
U2,AIC1734-33GUTR,12,AIC1734-33GUTR,SOT23-3,C211659,
U3,ATTINY1617-MN,12,ATtiny1617-M,QFN24 p0.5mm,C194193,
"U5,U6,U7",DRV8837DSGR,36,DRV8837DSGR,WSON-8 p0.5mm,C39159,"No Substitute please, must be DRV8837DSGR"
